country,IN,2011,Primary Only ,Government,2014,53616697
country,IN,2011,Primary With Upper Primary ,Government,2014,35480727
country,IN,2011,Primary With Upper Primary Sec/H.Sec ,Government,2014,3039479
country,IN,2011,Upper Primary Only ,Government,2014,11252734
country,IN,2011,Upper Primary With Sec./H.Sec ,Government,2014,6914053
country,IN,2011,Primary With Upper Primary Sec ,Government,2014,4175565
country,IN,2011,Upper Primary With  Sec. ,Government,2014,4193354
country,IN,2011,Primary Only ,Private,2014,17633102
country,IN,2011,Primary With Upper Primary ,Private,2014,20759029
country,IN,2011,Primary With Upper Primary Sec/H.Sec ,Private,2014,13485933
country,IN,2011,Upper Primary Only ,Private,2014,3567101
country,IN,2011,Upper Primary With Sec./H.Sec ,Private,2014,5153304
country,IN,2011,Primary With Upper Primary Sec ,Private,2014,7875833
country,IN,2011,Upper Primary With  Sec. ,Private,2014,4248394
district,532,2011,Primary Only ,Government,2014,117312
district,532,2011,Primary With Upper Primary ,Government,2014,41453
district,532,2011,Primary With Upper Primary Sec/H.Sec ,Government,2014,1782
district,532,2011,Upper Primary Only ,Government,2014,43
district,532,2011,Upper Primary With Sec./H.Sec ,Government,2014,1897
district,532,2011,Primary With Upper Primary Sec ,Government,2014,31756
district,532,2011,Upper Primary With  Sec. ,Government,2014,56535
district,532,2011,Primary Only ,Private,2014,55855
district,532,2011,Primary With Upper Primary ,Private,2014,43803
district,532,2011,Primary With Upper Primary Sec/H.Sec ,Private,2014,0
district,532,2011,Upper Primary Only ,Private,2014,0
district,532,2011,Upper Primary With Sec./H.Sec ,Private,2014,0
district,532,2011,Primary With Upper Primary Sec ,Private,2014,14269
district,532,2011,Upper Primary With  Sec. ,Private,2014,31240
district,146,2011,Primary Only ,Government,2014,197351
district,146,2011,Primary With Upper Primary ,Government,2014,36
district,146,2011,Primary With Upper Primary Sec/H.Sec ,Government,2014,993
district,146,2011,Upper Primary Only ,Government,2014,56156
district,146,2011,Upper Primary With Sec./H.Sec ,Government,2014,1366
district,146,2011,Primary With Upper Primary Sec ,Government,2014,0
district,146,2011,Upper Primary With  Sec. ,Government,2014,0
district,146,2011,Primary Only ,Private,2014,239313
district,146,2011,Primary With Upper Primary ,Private,2014,112752
district,146,2011,Primary With Upper Primary Sec/H.Sec ,Private,2014,36496
district,146,2011,Upper Primary Only ,Private,2014,35146
district,146,2011,Upper Primary With Sec./H.Sec ,Private,2014,27555
district,146,2011,Primary With Upper Primary Sec ,Private,2014,13966
district,146,2011,Upper Primary With  Sec. ,Private,2014,6634
district,474,2011,Primary Only ,Government,2014,73147
district,474,2011,Primary With Upper Primary ,Government,2014,233743
district,474,2011,Primary With Upper Primary Sec/H.Sec ,Government,2014,2733
district,474,2011,Upper Primary Only ,Government,2014,44183
district,474,2011,Upper Primary With Sec./H.Sec ,Government,2014,0
district,474,2011,Primary With Upper Primary Sec ,Government,2014,296
district,474,2011,Upper Primary With  Sec. ,Government,2014,77
district,474,2011,Primary Only ,Private,2014,13186
district,474,2011,Primary With Upper Primary ,Private,2014,493182
district,474,2011,Primary With Upper Primary Sec/H.Sec ,Private,2014,78802
district,474,2011,Upper Primary Only ,Private,2014,7996
district,474,2011,Upper Primary With Sec./H.Sec ,Private,2014,540
district,474,2011,Primary With Upper Primary Sec ,Private,2014,16057
district,474,2011,Upper Primary With  Sec. ,Private,2014,196
district,522,2011,Primary Only ,Government,2014,165612
district,522,2011,Primary With Upper Primary ,Government,2014,97479
district,522,2011,Primary With Upper Primary Sec/H.Sec ,Government,2014,2163
district,522,2011,Upper Primary Only ,Government,2014,0
district,522,2011,Upper Primary With Sec./H.Sec ,Government,2014,514
district,522,2011,Primary With Upper Primary Sec ,Government,2014,2793
district,522,2011,Upper Primary With  Sec. ,Government,2014,418
district,522,2011,Primary Only ,Private,2014,49657
district,522,2011,Primary With Upper Primary ,Private,2014,64809
district,522,2011,Primary With Upper Primary Sec/H.Sec ,Private,2014,14860
district,522,2011,Upper Primary Only ,Private,2014,0
district,522,2011,Upper Primary With Sec./H.Sec ,Private,2014,138592
district,522,2011,Primary With Upper Primary Sec ,Private,2014,13468
district,522,2011,Upper Primary With  Sec. ,Private,2014,102259
district,283,2011,Primary Only ,Government,2014,11507
district,283,2011,Primary With Upper Primary ,Government,2014,223
district,283,2011,Primary With Upper Primary Sec/H.Sec ,Government,2014,0
district,283,2011,Upper Primary Only ,Government,2014,11165
