country,IN,2011,Primary Only ,Government,2014,1988318
country,IN,2011,Primary With Upper Primary ,Government,2014,1125943
country,IN,2011,Primary With Upper Primary Sec/H.Sec ,Government,2014,181965
country,IN,2011,Upper Primary Only ,Government,2014,424646
country,IN,2011,Upper Primary With Sec./H.Sec ,Government,2014,482758
country,IN,2011,Primary With Upper Primary Sec ,Government,2014,177282
country,IN,2011,Upper Primary With  Sec. ,Government,2014,301811
country,IN,2011,Primary Only ,Private,2014,604728
country,IN,2011,Primary With Upper Primary ,Private,2014,787606
country,IN,2011,Primary With Upper Primary Sec/H.Sec ,Private,2014,632212
country,IN,2011,Upper Primary Only ,Private,2014,127931
country,IN,2011,Upper Primary With Sec./H.Sec ,Private,2014,310691
country,IN,2011,Primary With Upper Primary Sec ,Private,2014,361672
country,IN,2011,Upper Primary With  Sec. ,Private,2014,245217
district,532,2011,Primary Only ,Government,2014,5109
district,532,2011,Primary With Upper Primary ,Government,2014,1726
district,532,2011,Primary With Upper Primary Sec/H.Sec ,Government,2014,95
district,532,2011,Upper Primary Only ,Government,2014,0
district,532,2011,Upper Primary With Sec./H.Sec ,Government,2014,133
district,532,2011,Primary With Upper Primary Sec ,Government,2014,1408
district,532,2011,Upper Primary With  Sec. ,Government,2014,4519
district,532,2011,Primary Only ,Private,2014,2044
district,532,2011,Primary With Upper Primary ,Private,2014,2594
district,532,2011,Primary With Upper Primary Sec/H.Sec ,Private,2014,0
district,532,2011,Upper Primary Only ,Private,2014,0
district,532,2011,Upper Primary With Sec./H.Sec ,Private,2014,0
district,532,2011,Primary With Upper Primary Sec ,Private,2014,549
district,532,2011,Upper Primary With  Sec. ,Private,2014,2175
district,146,2011,Primary Only ,Government,2014,7289
district,146,2011,Primary With Upper Primary ,Government,2014,9
district,146,2011,Primary With Upper Primary Sec/H.Sec ,Government,2014,27
district,146,2011,Upper Primary Only ,Government,2014,2791
district,146,2011,Upper Primary With Sec./H.Sec ,Government,2014,142
district,146,2011,Primary With Upper Primary Sec ,Government,2014,0
district,146,2011,Upper Primary With  Sec. ,Government,2014,3
district,146,2011,Primary Only ,Private,2014,3595
district,146,2011,Primary With Upper Primary ,Private,2014,1792
district,146,2011,Primary With Upper Primary Sec/H.Sec ,Private,2014,839
district,146,2011,Upper Primary Only ,Private,2014,756
district,146,2011,Upper Primary With Sec./H.Sec ,Private,2014,1297
district,146,2011,Primary With Upper Primary Sec ,Private,2014,183
district,146,2011,Upper Primary With  Sec. ,Private,2014,197
