country,IN,2011,Primary Only ,girls,2014,700661
country,IN,2011,Primary With Upper Primary ,girls,2014,257416
country,IN,2011,Primary With Upper Primary Sec/H.Sec ,girls,2014,36614
country,IN,2011,Upper Primary Only ,girls,2014,124639
country,IN,2011,Upper Primary With Sec./H.Sec ,girls,2014,35780
country,IN,2011,Primary With Upper Primary Sec ,girls,2014,43108
country,IN,2011,Upper Primary With  Sec. ,girls,2014,45805
country,IN,2011,Primary Only ,boys,2014,788396
country,IN,2011,Primary With Upper Primary ,boys,2014,268340
country,IN,2011,Primary With Upper Primary Sec/H.Sec ,boys,2014,36257
country,IN,2011,Upper Primary Only ,boys,2014,132612
country,IN,2011,Upper Primary With Sec./H.Sec ,boys,2014,34289
country,IN,2011,Primary With Upper Primary Sec ,boys,2014,43866
country,IN,2011,Upper Primary With  Sec. ,boys,2014,46663
district,532,2011,Primary Only ,girls,2014,1430
district,532,2011,Primary With Upper Primary ,girls,2014,497
district,532,2011,Primary With Upper Primary Sec/H.Sec ,girls,2014,4
district,532,2011,Upper Primary Only ,girls,2014,0
district,532,2011,Upper Primary With Sec./H.Sec ,girls,2014,8
district,532,2011,Primary With Upper Primary Sec ,girls,2014,104
district,532,2011,Upper Primary With  Sec. ,girls,2014,511
district,532,2011,Primary Only ,boys,2014,2420
district,532,2011,Primary With Upper Primary ,boys,2014,659
district,532,2011,Primary With Upper Primary Sec/H.Sec ,boys,2014,2
district,532,2011,Upper Primary Only ,boys,2014,1
district,532,2011,Upper Primary With Sec./H.Sec ,boys,2014,8
district,532,2011,Primary With Upper Primary Sec ,boys,2014,115
district,532,2011,Upper Primary With  Sec. ,boys,2014,581
district,146,2011,Primary Only ,girls,2014,3061
district,146,2011,Primary With Upper Primary ,girls,2014,341
district,146,2011,Primary With Upper Primary Sec/H.Sec ,girls,2014,89
district,146,2011,Upper Primary Only ,girls,2014,1088
district,146,2011,Upper Primary With Sec./H.Sec ,girls,2014,148
district,146,2011,Primary With Upper Primary Sec ,girls,2014,35
