country,IN,2011,Playground ,2015,877416
country,IN,2011,Boundarywall ,2015,924374
country,IN,2011,Girls Toilet ,2015,1398928
country,IN,2011,Boys Toilet ,2015,1377924
country,IN,2011,Drinking Water ,2015,1401890
country,IN,2011,Electricity ,2015,829705
country,IN,2011,Computer ,2015,376236
district,532,2011,Playground ,2015,2297
district,532,2011,Boundarywall ,2015,2026
district,532,2011,Girls Toilet ,2015,4594
district,532,2011,Boys Toilet ,2015,4543
district,532,2011,Drinking Water ,2015,4024
district,532,2011,Electricity ,2015,3985
district,532,2011,Computer ,2015,897
district,146,2011,Playground ,2015,3813
district,146,2011,Boundarywall ,2015,4060
district,146,2011,Girls Toilet ,2015,4878
district,146,2011,Boys Toilet ,2015,4832
district,146,2011,Drinking Water ,2015,4842
district,146,2011,Electricity ,2015,2933
district,146,2011,Computer ,2015,496
district,474,2011,Playground ,2015,4478
district,474,2011,Boundarywall ,2015,4105
district,474,2011,Girls Toilet ,2015,4858
district,474,2011,Boys Toilet ,2015,4833
district,474,2011,Drinking Water ,2015,4887
district,474,2011,Electricity ,2015,4487
district,474,2011,Computer ,2015,4805
district,522,2011,Playground ,2015,4478
district,522,2011,Boundarywall ,2015,4105
district,522,2011,Girls Toilet ,2015,4858
district,522,2011,Boys Toilet ,2015,4833
district,522,2011,Drinking Water ,2015,4887
district,522,2011,Electricity ,2015,4487
district,522,2011,Computer ,2015,4805
district,283,2011,Playground ,2015,486
district,283,2011,Boundarywall ,2015,542
district,283,2011,Girls Toilet ,2015,716
district,283,2011,Boys Toilet ,2015,713
district,283,2011,Drinking Water ,2015,715
district,283,2011,Electricity ,2015,603
district,283,2011,Computer ,2015,271
district,119,2011,Playground ,2015,1939
district,119,2011,Boundarywall ,2015,3054
district,119,2011,Girls Toilet ,2015,3287
district,119,2011,Boys Toilet ,2015,3127
district,119,2011,Drinking Water ,2015,3300
district,119,2011,Electricity ,2015,2450
district,119,2011,Computer ,2015,1438
district,501,2011,Playground ,2015,1023
district,501,2011,Boundarywall ,2015,1239
district,501,2011,Girls Toilet ,2015,1541
district,501,2011,Boys Toilet ,2015,1489
district,501,2011,Drinking Water ,2015,1563
district,501,2011,Electricity ,2015,1402
district,501,2011,Computer ,2015,794
district,598,2011,Playground ,2015,788
district,598,2011,Boundarywall ,2015,932
district,598,2011,Girls Toilet ,2015,985
district,598,2011,Boys Toilet ,2015,970
district,598,2011,Drinking Water ,2015,996
district,598,2011,Electricity ,2015,971
district,598,2011,Computer ,2015,961
district,143,2011,Playground ,2015,3030
district,143,2011,Boundarywall ,2015,3341
district,143,2011,Girls Toilet ,2015,4183
district,143,2011,Boys Toilet ,2015,4146
district,143,2011,Drinking Water ,2015,4169
district,143,2011,Electricity ,2015,1973
district,143,2011,Computer ,2015,685
district,465,2011,Playground ,2015,670
district,465,2011,Boundarywall ,2015,913
district,465,2011,Girls Toilet ,2015,2335
district,465,2011,Boys Toilet ,2015,2316
district,465,2011,Drinking Water ,2015,2410
district,465,2011,Electricity ,2015,205
district,465,2011,Computer ,2015,121
district,175,2011,Playground ,2015,4048
district,175,2011,Boundarywall ,2015,4090
district,175,2011,Girls Toilet ,2015,5602
district,175,2011,Boys Toilet ,2015,5535
district,175,2011,Drinking Water ,2015,5578
district,175,2011,Electricity ,2015,2156
district,175,2011,Computer ,2015,632
district,64,2011,Playground ,2015,1145
district,64,2011,Boundarywall ,2015,1893
district,64,2011,Girls Toilet ,2015,2214
district,64,2011,Boys Toilet ,2015,2195
district,64,2011,Drinking Water ,2015,2210
district,64,2011,Electricity ,2015,1320
district,64,2011,Computer ,2015,566
district,104,2011,Playground ,2015,2825
district,104,2011,Boundarywall ,2015,4596
district,104,2011,Girls Toilet ,2015,5268
district,104,2011,Boys Toilet ,2015,5205
district,104,2011,Drinking Water ,2015,4505
district,104,2011,Electricity ,2015,3072
district,104,2011,Computer ,2015,1162
district,70,2011,Playground ,2015,936
district,70,2011,Boundarywall ,2015,1043
district,70,2011,Girls Toilet ,2015,1067
district,70,2011,Boys Toilet ,2015,1049
district,70,2011,Drinking Water ,2015,1083
district,70,2011,Electricity ,2015,1083
district,70,2011,Computer ,2015,468
district,178,2011,Playground ,2015,2190
district,178,2011,Boundarywall ,2015,2061
district,178,2011,Girls Toilet ,2015,3390
district,178,2011,Boys Toilet ,2015,3310
district,178,2011,Drinking Water ,2015,3279
district,178,2011,Electricity ,2015,1198
district,178,2011,Computer ,2015,291
district,503,2011,Playground ,2015,2074
district,503,2011,Boundarywall ,2015,2283
district,503,2011,Girls Toilet ,2015,2553
district,503,2011,Boys Toilet ,2015,2502
district,503,2011,Drinking Water ,2015,2599
district,503,2011,Electricity ,2015,2300
district,503,2011,Computer ,2015,1044
district,480,2011,Playground ,2015,911
district,480,2011,Boundarywall ,2015,1016
district,480,2011,Girls Toilet ,2015,1008
district,480,2011,Boys Toilet ,2015,1006
district,480,2011,Drinking Water ,2015,1041
district,480,2011,Electricity ,2015,1041
district,480,2011,Computer ,2015,959
district,49,2011,Playground ,2015,2031
district,49,2011,Boundarywall ,2015,2183
district,49,2011,Girls Toilet ,2015,2218
district,49,2011,Boys Toilet ,2015,2184
district,49,2011,Drinking Water ,2015,2251
district,49,2011,Electricity ,2015,2251
district,49,2011,Computer ,2015,1315
district,482,2011,Playground ,2015,1083
district,482,2011,Boundarywall ,2015,1297
district,482,2011,Girls Toilet ,2015,1307
district,482,2011,Boys Toilet ,2015,1300
district,482,2011,Drinking Water ,2015,1382
district,482,2011,Electricity ,2015,1382
district,482,2011,Computer ,2015,1029
district,553,2011,Playground ,2015,1917
district,553,2011,Boundarywall ,2015,3569
district,553,2011,Girls Toilet ,2015,4993
district,553,2011,Boys Toilet ,2015,4920
district,553,2011,Drinking Water ,2015,4289
district,553,2011,Electricity ,2015,4710
district,553,2011,Computer ,2015,1270
district,14,2011,Playground ,2015,595
district,14,2011,Boundarywall ,2015,774
district,14,2011,Girls Toilet ,2015,1806
district,14,2011,Boys Toilet ,2015,1769
district,14,2011,Drinking Water ,2015,1792
district,14,2011,Electricity ,2015,368
district,14,2011,Computer ,2015,344
district,260,2011,Playground ,2015,34
district,260,2011,Boundarywall ,2015,45
district,260,2011,Girls Toilet ,2015,91
district,260,2011,Boys Toilet ,2015,87
district,260,2011,Drinking Water ,2015,92
district,260,2011,Electricity ,2015,22
district,260,2011,Computer ,2015,34
district,384,2011,Playground ,2015,873
district,384,2011,Boundarywall ,2015,972
district,384,2011,Girls Toilet ,2015,1722
district,384,2011,Boys Toilet ,2015,1600
district,384,2011,Drinking Water ,2015,1653
district,384,2011,Electricity ,2015,272
district,384,2011,Computer ,2015,167
district,461,2011,Playground ,2015,873
district,461,2011,Boundarywall ,2015,972
district,461,2011,Girls Toilet ,2015,1722
district,461,2011,Boys Toilet ,2015,1600
district,461,2011,Drinking Water ,2015,1653
district,461,2011,Electricity ,2015,272
district,461,2011,Computer ,2015,167
district,209,2011,Playground ,2015,823
district,209,2011,Boundarywall ,2015,1209
district,209,2011,Girls Toilet ,2015,1809
district,209,2011,Boys Toilet ,2015,1792
district,209,2011,Drinking Water ,2015,2060
district,209,2011,Electricity ,2015,802
